barrio_E,hora_E,barrio_J,hora_J,barrio_A,hora_A
CABALLITO,21:00:00,,,CABALLITO,17:30:00
VILLA PUEYRREDON,21:00:00,,,VILLA URQUIZA,17:30:00
CABALLITO,21:00:00,,,BARRACAS,17:30:00
CABALLITO,21:00:00,,,BARRACAS,17:30:00
CABALLITO,21:30:00,,,CABALLITO,17:30:00
VILLA PUEYRREDON,21:30:00,,,CABALLITO,18:00:00
CABALLITO,21:30:00,,,CABALLITO,18:00:00
BARRACAS,21:30:00,,,CABALLITO,18:00:00
BARRACAS,21:30:00,,,VILLA URQUIZA,18:00:00
VILLA URQUIZA,21:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,21:30:00,,,CABALLITO,18:00:00
CABALLITO,21:30:00,,,VILLA PUEYRREDON,18:00:00
VILLA URQUIZA,21:30:00,,,CABALLITO,18:00:00
VILLA URQUIZA,21:30:00,,,VILLA URQUIZA,18:00:00
VILLA URQUIZA,21:30:00,,,VILLA URQUIZA,18:00:00
VILLA PUEYRREDON,21:30:00,,,BARRACAS,18:00:00
CABALLITO,21:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,21:30:00,,,VILLA PUEYRREDON,18:00:00
CABALLITO,21:30:00,,,BARRACAS,18:00:00
BARRACAS,21:30:00,,,VILLA URQUIZA,18:00:00
BARRACAS,21:30:00,,,BARRACAS,18:00:00
BARRACAS,21:30:00,,,VILLA PUEYRREDON,18:00:00
VILLA URQUIZA,21:30:00,,,CABALLITO,18:00:00
BARRACAS,21:30:00,,,CABALLITO,18:00:00
BARRACAS,21:30:00,,,CABALLITO,18:00:00
BARRACAS,21:30:00,,,VILLA PUEYRREDON,18:00:00
BARRACAS,21:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,21:30:00,,,VILLA URQUIZA,18:00:00
BARRACAS,21:30:00,,,VILLA URQUIZA,18:00:00
VILLA URQUIZA,21:30:00,,,BARRACAS,18:00:00
VILLA PUEYRREDON,21:30:00,,,CABALLITO,18:00:00
CABALLITO,21:30:00,,,CABALLITO,18:00:00
BARRACAS,21:30:00,,,VILLA PUEYRREDON,18:00:00
VILLA URQUIZA,21:30:00,,,VILLA URQUIZA,18:00:00
VILLA URQUIZA,21:30:00,,,VILLA URQUIZA,18:00:00
VILLA PUEYRREDON,21:30:00,,,VILLA PUEYRREDON,18:00:00
VILLA PUEYRREDON,21:30:00,,,CABALLITO,18:00:00
CABALLITO,21:30:00,,,CABALLITO,18:00:00
CABALLITO,22:00:00,,,CABALLITO,18:00:00
VILLA PUEYRREDON,22:00:00,,,BARRACAS,18:00:00
CABALLITO,22:00:00,,,VILLA URQUIZA,18:00:00
VILLA URQUIZA,22:00:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:00:00,,,VILLA URQUIZA,18:00:00
VILLA PUEYRREDON,22:00:00,,,VILLA URQUIZA,18:00:00
VILLA PUEYRREDON,22:00:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:00:00,,,CABALLITO,18:00:00
VILLA PUEYRREDON,22:00:00,,,VILLA URQUIZA,18:00:00
BARRACAS,22:00:00,,,CABALLITO,18:00:00
BARRACAS,22:00:00,,,VILLA URQUIZA,18:00:00
BARRACAS,22:00:00,,,CABALLITO,18:00:00
CABALLITO,22:00:00,,,CABALLITO,18:00:00
BARRACAS,22:00:00,,,BARRACAS,18:00:00
CABALLITO,22:00:00,,,VILLA URQUIZA,18:00:00
BARRACAS,22:00:00,,,VILLA URQUIZA,18:00:00
VILLA URQUIZA,22:00:00,,,BARRACAS,18:00:00
CABALLITO,22:00:00,,,CABALLITO,18:00:00
BARRACAS,22:00:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:00:00,,,CABALLITO,18:00:00
CABALLITO,22:00:00,,,VILLA PUEYRREDON,18:00:00
VILLA PUEYRREDON,22:00:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:00:00,,,CABALLITO,18:00:00
CABALLITO,22:30:00,,,CABALLITO,18:00:00
VILLA PUEYRREDON,22:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:30:00,,,VILLA URQUIZA,18:00:00
VILLA PUEYRREDON,22:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:30:00,,,VILLA URQUIZA,18:00:00
VILLA PUEYRREDON,22:30:00,,,VILLA PUEYRREDON,18:00:00
CABALLITO,22:30:00,,,VILLA URQUIZA,18:00:00
BARRACAS,22:30:00,,,VILLA URQUIZA,18:00:00
CABALLITO,22:30:00,,,VILLA URQUIZA,18:00:00
BARRACAS,22:30:00,,,VILLA PUEYRREDON,18:00:00
VILLA URQUIZA,22:30:00,,,CABALLITO,18:00:00
BARRACAS,22:30:00,,,BARRACAS,18:30:00
VILLA PUEYRREDON,22:30:00,,,VILLA PUEYRREDON,18:30:00
CABALLITO,22:30:00,,,CABALLITO,18:30:00
CABALLITO,22:30:00,,,BARRACAS,18:30:00
CABALLITO,22:30:00,,,BARRACAS,18:30:00
BARRACAS,22:30:00,,,BARRACAS,18:30:00
CABALLITO,22:30:00,,,VILLA URQUIZA,18:30:00
BARRACAS,23:00:00,,,CABALLITO,18:30:00
CABALLITO,23:00:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:00:00,,,VILLA URQUIZA,18:30:00
BARRACAS,23:00:00,,,VILLA URQUIZA,18:30:00
VILLA PUEYRREDON,23:00:00,,,VILLA PUEYRREDON,18:30:00
VILLA PUEYRREDON,23:00:00,,,CABALLITO,18:30:00
CABALLITO,23:00:00,,,VILLA URQUIZA,18:30:00
VILLA URQUIZA,23:00:00,,,CABALLITO,18:30:00
BARRACAS,23:00:00,,,CABALLITO,18:30:00
CABALLITO,23:00:00,,,CABALLITO,18:30:00
VILLA PUEYRREDON,23:00:00,,,BARRACAS,18:30:00
VILLA URQUIZA,23:00:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:00:00,,,VILLA URQUIZA,18:30:00
VILLA URQUIZA,23:00:00,,,VILLA URQUIZA,18:30:00
BARRACAS,23:00:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:00:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:00:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:00:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:00:00,,,VILLA URQUIZA,18:30:00
VILLA PUEYRREDON,23:00:00,,,VILLA PUEYRREDON,18:30:00
BARRACAS,23:00:00,,,VILLA PUEYRREDON,18:30:00
VILLA PUEYRREDON,23:30:00,,,BARRACAS,18:30:00
CABALLITO,23:30:00,,,BARRACAS,18:30:00
CABALLITO,23:30:00,,,CABALLITO,18:30:00
VILLA PUEYRREDON,23:30:00,,,VILLA URQUIZA,18:30:00
VILLA PUEYRREDON,23:30:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:30:00,,,CABALLITO,18:30:00
BARRACAS,23:30:00,,,CABALLITO,18:30:00
VILLA URQUIZA,23:30:00,,,VILLA URQUIZA,18:30:00
VILLA URQUIZA,23:30:00,,,VILLA PUEYRREDON,18:30:00
VILLA URQUIZA,23:30:00,,,VILLA PUEYRREDON,18:30:00
VILLA PUEYRREDON,23:30:00,,,VILLA URQUIZA,18:30:00
VILLA URQUIZA,23:30:00,,,VILLA URQUIZA,18:30:00
VILLA URQUIZA,23:30:00,,,CABALLITO,18:30:00
CABALLITO,23:30:00,,,VILLA URQUIZA,18:30:00
VILLA PUEYRREDON,23:30:00,,,CABALLITO,18:30:00
VILLA PUEYRREDON,23:30:00,,,CABALLITO,18:30:00
CABALLITO,23:30:00,,,VILLA PUEYRREDON,18:30:00
VILLA URQUIZA,23:30:00,,,BARRACAS,18:30:00
VILLA PUEYRREDON,23:30:00,,,BARRACAS,18:30:00
VILLA URQUIZA,23:30:00,,,BARRACAS,18:30:00
,,,,BARRACAS,18:30:00
,,,,BARRACAS,18:30:00
,,,,BARRACAS,18:30:00
,,,,CABALLITO,18:30:00
,,,,VILLA URQUIZA,18:30:00
,,,,CABALLITO,18:30:00
,,,,VILLA URQUIZA,18:30:00
,,,,CABALLITO,18:30:00
,,,,CABALLITO,18:30:00
,,,,VILLA URQUIZA,18:30:00
,,,,VILLA URQUIZA,18:30:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,CABALLITO,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,CABALLITO,19:00:00
,,,,BARRACAS,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,BARRACAS,19:00:00
,,,,CABALLITO,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,CABALLITO,19:00:00
,,,,CABALLITO,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,CABALLITO,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,CABALLITO,19:00:00
,,,,VILLA PUEYRREDON,19:00:00
,,,,BARRACAS,19:00:00
,,,,BARRACAS,19:00:00
,,,,VILLA URQUIZA,19:00:00
,,,,CABALLITO,19:30:00
,,,,BARRACAS,19:30:00
,,,,CABALLITO,19:30:00
,,,,CABALLITO,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,BARRACAS,19:30:00
,,,,BARRACAS,19:30:00
,,,,BARRACAS,19:30:00
,,,,BARRACAS,19:30:00
,,,,CABALLITO,19:30:00
,,,,BARRACAS,19:30:00
,,,,BARRACAS,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,BARRACAS,19:30:00
,,,,BARRACAS,19:30:00
,,,,CABALLITO,19:30:00
,,,,CABALLITO,19:30:00
,,,,CABALLITO,19:30:00
,,,,CABALLITO,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,BARRACAS,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,CABALLITO,19:30:00
,,,,CABALLITO,19:30:00
,,,,BARRACAS,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,CABALLITO,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA PUEYRREDON,19:30:00
,,,,CABALLITO,19:30:00
,,,,VILLA PUEYRREDON,19:30:00
,,,,BARRACAS,19:30:00
,,,,CABALLITO,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,BARRACAS,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,CABALLITO,19:30:00
,,,,VILLA URQUIZA,19:30:00
,,,,VILLA URQUIZA,20:00:00
,,,,BARRACAS,20:00:00
,,,,CABALLITO,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,VILLA PUEYRREDON,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,VILLA PUEYRREDON,20:00:00
,,,,VILLA PUEYRREDON,20:00:00
,,,,VILLA PUEYRREDON,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,CABALLITO,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,BARRACAS,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,CABALLITO,20:00:00
,,,,CABALLITO,20:00:00
,,,,BARRACAS,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,VILLA PUEYRREDON,20:00:00
,,,,VILLA URQUIZA,20:00:00
,,,,CABALLITO,20:00:00
,,,,BARRACAS,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,BARRACAS,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,BARRACAS,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,BARRACAS,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,CABALLITO,20:30:00
,,,,BARRACAS,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,BARRACAS,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,VILLA URQUIZA,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,CABALLITO,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA PUEYRREDON,20:30:00
,,,,CABALLITO,20:30:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,CABALLITO,21:00:00
,,,,BARRACAS,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,BARRACAS,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,BARRACAS,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,CABALLITO,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,CABALLITO,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,CABALLITO,21:00:00
,,,,BARRACAS,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA URQUIZA,21:00:00
,,,,VILLA PUEYRREDON,21:00:00
,,,,VILLA URQUIZA,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA PUEYRREDON,21:30:00
,,,,VILLA URQUIZA,21:30:00
,,,,VILLA URQUIZA,21:30:00
,,,,BARRACAS,21:30:00
,,,,BARRACAS,21:30:00
,,,,BARRACAS,21:30:00
,,,,BARRACAS,21:30:00
,,,,BARRACAS,21:30:00
,,,,BARRACAS,21:30:00
,,,,BARRACAS,21:30:00
,,,,CABALLITO,21:30:00
,,,,BARRACAS,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA URQUIZA,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA URQUIZA,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA URQUIZA,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA PUEYRREDON,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA URQUIZA,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,CABALLITO,21:30:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,BARRACAS,22:00:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,CABALLITO,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,CABALLITO,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,CABALLITO,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,BARRACAS,22:00:00
,,,,BARRACAS,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:00:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,VILLA PUEYRREDON,22:00:00
,,,,BARRACAS,22:00:00
,,,,VILLA URQUIZA,22:00:00
,,,,CABALLITO,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,CABALLITO,22:30:00
,,,,VILLA PUEYRREDON,22:30:00
,,,,CABALLITO,22:30:00
,,,,BARRACAS,22:30:00
,,,,BARRACAS,22:30:00
,,,,BARRACAS,22:30:00
,,,,CABALLITO,22:30:00
,,,,CABALLITO,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,CABALLITO,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,CABALLITO,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,BARRACAS,22:30:00
,,,,VILLA URQUIZA,22:30:00
,,,,VILLA PUEYRREDON,22:30:00
,,,,CABALLITO,22:30:00
,,,,CABALLITO,22:30:00
,,,,CABALLITO,22:30:00
,,,,CABALLITO,22:30:00
,,,,VILLA PUEYRREDON,22:30:00
,,,,CABALLITO,22:30:00
,,,,VILLA PUEYRREDON,23:00:00
,,,,VILLA PUEYRREDON,23:00:00
,,,,CABALLITO,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,VILLA PUEYRREDON,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,VILLA PUEYRREDON,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,BARRACAS,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,CABALLITO,23:00:00
,,,,CABALLITO,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,CABALLITO,23:00:00
,,,,VILLA PUEYRREDON,23:00:00
,,,,BARRACAS,23:00:00
,,,,VILLA URQUIZA,23:00:00
,,,,VILLA URQUIZA,23:30:00
,,,,VILLA URQUIZA,23:30:00
,,,,CABALLITO,23:30:00
,,,,VILLA URQUIZA,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
,,,,VILLA PUEYRREDON,23:30:00
,,,,CABALLITO,23:30:00
,,,,VILLA PUEYRREDON,23:30:00
,,,,CABALLITO,23:30:00
,,,,VILLA PUEYRREDON,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
,,,,BARRACAS,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
,,,,BARRACAS,23:30:00
,,,,VILLA URQUIZA,23:30:00
,,,,VILLA URQUIZA,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
,,,,CABALLITO,23:30:00
